SongTitle,Artist,Album,Genre,Duration
"Bohemian Rhapsody","Queen","A Night at the Opera","Rock","6:07"
"Shape of You","Ed Sheeran","÷ (Divide)","Pop","3:54"
"Billie Jean","Michael Jackson","Thriller","Pop","4:54"
"Hotel California","Eagles","Hotel California","Rock","6:30"
"Dancing Queen","ABBA","Arrival","Pop","3:52"
"Imagine","John Lennon","Imagine","Rock","3:04"
"Uptown Funk","Mark Ronson ft. Bruno Mars","Uptown Special","Pop","4:30"
"Rolling in the Deep","Adele","21","Pop","3:48"
"Boogie Wonderland","Earth, Wind & Fire","I Am","Funk","4:47"
"Sweet Child o' Mine","Guns N' Roses","Appetite for Destruction","Rock","5:56"

